Country,ISO3,GDP (log_2000_2024),GDP (log_2000_2024)_Cluster,CPI (2000_2024),CPI (2000_2024)_Cluster,RDE (2000_2023),RDE (2000_2023)_Cluster,GEE (2000_2024),GEE (2000_2024)_Cluster,HDI (2000_2023),HDI (2000_2023)_Cluster,WGI (2000_2024),WGI (2000_2024)_Cluster,AFI (2000_2024),AFI (2000_2024)_Cluster,GII (2000-2025),GII (2000-2025)_Cluster,RDE,RDE_Cluster,GDP,GDP_Cluster,Gross_R&D_$,Gross_R&D_$_Cluster,Net_R&D_$,Net_R&D_$_Cluster,Net_R&D_%,Net_R&D_%_Cluster,Retraction_Cost_%,Retraction_Cost_%_Cluster,Paper_Cost_$,Paper_Cost_$_Cluster,Valid_Paper_Cost_%_(RDE/(Total_Pub-Tot_Retracted),Valid_Paper_Cost_%_(RDE/(Total_Pub-Tot_Retracted)_Cluster,RARE,RARE_Cluster,Gross_R&D_$_log,Gross_R&D_$_log_Cluster,Retraction_Cost_$_log,Retraction_Cost_$_log_Cluster,Paper_Cost_$_log,Paper_Cost_$_log_Cluster,RARE_log,RARE_log_Cluster,GDP_BillionUSD,GDP_BillionUSD_Cluster,Retraction_Cost_BillionUSD,Retraction_Cost_BillionUSD_Cluster,Net_R&D_%_log,Net_R&D_%_log_Cluster
China,CHN,29.47838988,0,37.68,0,1.733351304,1,4.001279831,0,0.713083333,1,48.21930816,0,0.1848,1,56.55514475,0,0.017333513,1,6.34E+12,2,1.1E+11,2,1.1E+11,2,0.017264634,1,6.89E-05,0,12139.72072,1,0.000000192,0,8.20E-05,0,25.4232764,0,19.89523446,0,9.40432043,0,8.20E-05,0,6343.107333,2,0.436908549,1,0.017117293,1
Colombia,COL,26.18361166,0,37.24,0,0.221890476,0,4.357685702,0,0.740333333,1,48.65530339,0,0.65844,1,28.4802836,0,0.002218905,0,2.35E+11,0,521839226.8,0,521430328.9,0,0.002217166,0,1.74E-06,0,3717.253705,0,0.00000158,0,0.000268805,0,20.07287011,0,12.92122323,0,8.221009403,0,0.000268769,0,235.1787405,0,0.000408898,0,0.002214712,0
Czech Republic,CZE,25.94940169,0,51.92,0,1.539016522,1,4.206164775,0,0.878375,1,68.12647048,1,0.94728,0,42.03575878,0,0.015390165,1,1.86E+11,0,2863685001,0,2862570232,0,0.015384174,1,5.99E-06,0,6797.371428,0,0.00000365,0,0.000147058,0,21.77537509,0,13.92415858,0,8.824438367,0,0.000147048,0,186.0724014,0,0.001114769,0,0.015267038,1
Germany,DEU,28.85494445,0,78.84,1,2.765867391,1,4.940802847,0,0.93725,0,83.38871442,1,0.96008,0,55.45535125,0,0.027658674,1,3.4E+12,4,94053400994,2,94020668535,2,0.027649048,1,9.63E-06,0,25532.33911,1,0.000000751,0,3.92E-05,0,25.26712855,0,17.3038778,0,10.14774029,0,3.92E-05,0,3400.502906,4,0.032732459,4,0.027273716,1
Denmark,DNK,26.44198813,0,89.44,1,2.752898696,1,7.763935913,0,0.931708333,0,89.96903662,1,0.94016,0,56.9149155,0,0.027528987,1,3.05E+11,0,8383005778,3,8380168455,3,0.027519669,1,9.32E-06,0,15092.14208,1,0.00000496,0,6.62E-05,0,22.84947237,0,14.85837181,0,9.621995753,0,6.62E-05,0,304.5155926,0,0.002837323,0,0.02714781,1
Algeria,DZA,25.74952951,0,32.31818182,0,0.23761,0,6.268928412,0,0.717791667,1,40.20939929,0,0.30272,1,18.90146492,0,0.0023761,0,1.52E+11,0,362028942.8,0,361625678,0,0.002373453,0,2.65E-06,0,4114.947236,0,0.0000027,0,0.000242746,0,19.70723472,0,12.90735125,0,8.322624278,0,0.000242716,0,152.3626711,0,0.000403265,0,0.002370641,0
Egypt,EGY,26.05080407,0,32.48,0,0.57656381,0,4.309666634,0,0.688625,1,43.33105774,0,0.1774,1,24.71222817,0,0.005765638,0,2.06E+11,0,1187320143,0,1183475095,0,0.005746967,0,1.87E-05,0,3651.517548,0,0.00000178,0,0.000272972,0,20.89496462,0,15.1622969,0,8.203171948,0,0.000272935,0,205.930397,0,0.003845048,0,0.005730516,0
Spain,ESP,27.84677534,0,63.24,1,1.21211,0,4.3721787,0,0.878916667,1,71.7070478,1,0.94672,0,44.6070366,0,0.0121211,0,1.24E+12,3,15039829164,3,15033802784,3,0.012116243,0,4.86E-06,0,8188.015725,0,0.00000066,0,0.000122081,0,23.4339678,0,15.61165715,0,9.01054899,0,0.000122073,0,1240.797383,3,0.00602638,0,0.012043429,0
Finland,FIN,26.17850659,0,91.16,1,3.193343913,1,6.393231288,0,0.928,0,90.32475648,1,0.93528,0,57.70636474,0,0.031933439,1,2.34E+11,0,7471824279,3,7469856503,3,0.031925029,1,8.41E-06,0,17888.87253,1,0.00000765,0,5.59E-05,0,22.73440502,0,14.49241503,0,9.791990051,0,5.59E-05,0,233.981196,0,0.001967776,0,0.031426018,1
France,FRA,28.5221432,0,69.84,1,2.169283043,1,5.442854961,0,0.890541667,0,77.01783902,1,0.88936,0,53.4156787,0,0.02169283,1,2.44E+12,4,52884161796,3,52861239013,3,0.021683428,1,9.40E-06,0,21707.18045,1,0.000000891,0,4.60E-05,0,24.69136973,0,16.9476419,0,9.985444448,0,4.60E-05,0,2437.863605,4,0.022922783,4,0.021451686,1
United Kingdom,GBR,28.60497472,0,79.72,1,1.947372273,1,5.129261403,0,0.916833333,0,81.96225768,1,0.9046,0,59.11537571,0,0.019473723,1,2.65E+12,4,51574100004,3,51554020344,3,0.019466141,1,7.58E-06,0,10895.09494,1,0.000000412,0,9.17E-05,0,24.66628545,0,16.81521797,0,9.296159741,0,9.17E-05,0,2648.394491,4,0.02007966,4,0.019279099,1
Greece,GRC,26.13477131,0,44.2,0,0.874168571,0,3.576235511,0,0.873916667,1,60.23648648,0,0.84552,0,37.34679918,0,0.008741686,0,2.24E+11,0,1957862346,0,1956716286,0,0.008736569,0,5.12E-06,0,4775.25072,0,0.00000213,0,0.000209291,0,21.39511908,0,13.95184156,0,8.47141115,0,0.000209269,0,223.9685126,0,0.00114606,0,0.008698626,0
Croatia,HRV,24.68834238,0,43.88,0,0.916915217,0,4.084461434,0,0.837041667,1,57.49448746,0,0.879,0,37.67944844,0,0.009169152,0,52724304914,0,483437174.8,0,483232755,0,0.009165275,0,3.88E-06,0,3931.150589,0,0.00000746,0,0.000254271,0,19.99643193,0,12.22793603,0,8.276941779,0,0.000254239,0,52.72430491,0,0.00020442,0,0.009123529,0
Hungary,HUN,25.56803259,0,48.36,0,1.180969565,0,4.749340897,0,0.835625,1,62.88940986,0,0.66768,1,39.99437379,0,0.011809696,0,1.27E+11,0,1500701002,0,1500102212,0,0.011804984,0,4.71E-06,0,6370.104216,0,0.00000501,0,0.000156921,0,21.12919817,0,13.30266757,0,8.75952808,0,0.000156908,0,127.073639,0,0.00059879,0,0.011735848,0
Indonesia,IDN,27.14924718,0,29.64,0,0.171662222,0,2.339350808,0,0.67325,1,46.02965439,0,0.70576,1,31.30502075,0,0.001716622,0,6.18E+11,3,1060334685,0,1058871127,0,0.001714253,0,2.37E-06,0,6363.293493,0,0.00000103,0,0.000156934,0,20.78185044,0,14.19638136,0,8.758458506,0,0.000156922,0,617.6866827,3,0.001463558,0,0.001712785,0
India,IND,28.07350712,0,34.96,0,0.738574286,0,3.875898873,0,0.597708333,1,50.30695625,0,0.49776,1,38.19981338,0,0.007385743,0,1.56E+12,3,11496440956,3,11463446536,3,0.007364546,0,2.12E-05,0,5675.971043,0,0.000000366,0,0.000175676,0,23.16530334,0,17.31184904,0,8.644173102,0,0.00017566,0,1556.572057,3,0.03299442,4,0.00733756,0
Ireland,IRL,26.32704781,0,74.25,1,1.261269565,0,4.417926333,0,0.917333333,0,80.71146885,1,0.9288,0,50.35122502,0,0.012612696,0,2.71E+11,0,3423729973,0,3422280701,0,0.012607357,0,5.34E-06,0,10815.45612,1,0.00000399,0,9.24E-05,0,21.95399643,0,14.18657201,0,9.288823968,0,9.24E-05,0,271.4510893,0,0.001449271,0,0.012528546,0
Iran,IRN,26.53414394,0,26,0,0.510774,0,3.581350143,0,0.769625,1,35.8046417,0,0.12844,1,28.52097323,0,0.00510774,0,3.34E+11,0,1705536733,0,1700774688,0,0.005093479,0,1.43E-05,0,2367.998529,0,0.000000711,0,0.000421118,0,21.2571457,0,15.37618797,0,7.770222583,0,0.00042103,0,333.9122063,0,0.004762045,0,0.005080551,0
Israel,ISR,26.27983914,0,62.76,1,4.418404348,1,5.825073906,0,0.886333333,0,71.60275584,1,0.93772,0,52.24996791,0,0.044184043,1,2.59E+11,0,11440752259,3,11437219506,3,0.0441704,1,1.36E-05,0,23551.69145,1,0.0000091,0,4.24E-05,0,23.16044758,0,15.0775885,0,10.06699538,0,4.24E-05,0,258.9340259,0,0.003532754,0,0.043222695,1
Italy,ITA,28.29103456,0,48.92,0,1.238055652,0,4.233888678,0,0.886416667,0,62.10153236,0,0.957,0,44.94473999,0,0.012380557,0,1.93E+12,3,23954127889,3,23942242987,3,0.012374414,0,6.14E-06,0,10272.17115,1,0.000000531,0,9.73E-05,0,23.8994065,0,16.29077951,0,9.237291034,0,9.73E-05,0,1934.818346,3,0.011884902,4,0.012298477,0
Japan,JPN,29.21696359,0,73.24,1,3.16911,1,3.343745697,0,0.909333333,0,77.59070836,1,0.6626,1,53.55656914,0,0.0316911,1,4.88E+12,4,1.55E+11,4,1.55E+11,4,0.031673257,1,1.78E-05,0,53726.11613,2,0.0000011,0,1.86E-05,0,25.7652442,0,18.28306974,0,10.89167311,0,1.86E-05,0,4883.892152,4,0.08714376,2,0.031182005,1
South Korea,KOR,27.8502366,0,53.68,0,3.508071739,1,4.717597425,0,0.893208333,0,69.06425489,1,0.82504,0,59.99763532,0,0.035080717,1,1.25E+12,3,43678985327,3,43638437747,3,0.035048152,1,3.26E-05,0,28434.48838,1,0.00000229,0,3.51E-05,0,24.50013294,0,17.51798669,0,10.25539323,0,3.51E-05,0,1245.099547,3,0.04054758,4,0.034447949,1
Morocco,MAR,25.28430928,0,36.91666667,0,0.55884,0,5.346025112,0,0.623625,1,47.99501344,0,0.5826,1,31.04794717,0,0.0055884,0,95683267801,0,534716373.8,0,534281972.6,0,0.00558386,0,4.54E-06,0,6295.66927,0,0.00000659,0,0.00015871,0,20.09724702,0,12.98172607,0,8.747776085,0,0.000158698,0,95.6832678,0,0.000434401,0,0.005568328,0
Mexico,MEX,27.75078404,0,32.44,0,0.3588225,0,4.547285037,0,0.755958333,1,47.53506173,0,0.88184,0,30.51271633,0,0.003588225,0,1.13E+12,3,4044753363,0,4043408302,0,0.003587032,0,1.19E-06,0,9676.698102,1,0.000000859,0,0.000103307,0,22.12068641,0,14.1119507,0,9.177579353,0,0.000103301,0,1127.229581,3,0.001345061,0,0.003580614,0
Malaysia,MYS,26.18875473,0,49.08,0,0.94581,0,5.158240992,0,0.777083333,1,61.49518843,0,0.38944,1,40.58148955,0,0.0094581,0,2.36E+11,0,2235813472,0,2229716666,0,0.009432309,0,2.58E-05,0,6670.466022,0,0.00000283,0,0.000149506,0,21.52787097,0,15.62327574,0,8.805594908,0,0.000149495,0,236.391397,0,0.006096806,0,0.009388102,0
Nigeria,NGA,26.43511962,0,22.75,0,0.208335,0,0.41401308,0,0.507666667,1,33.45405781,0,0.9082,0,21.08152094,0,0.00208335,0,3.02E+11,0,630070021.3,0,628974183.1,0,0.002079727,0,3.62E-06,0,6156.39433,0,0.00000204,0,0.00016215,0,20.26134152,0,13.90703101,0,8.725408969,0,0.000162137,0,302.4311908,0,0.001095838,0,0.002077567,0
Netherlands,NLD,27.41087033,0,85,1,1.950128696,1,5.153174774,0,0.9285,0,86.85093628,1,0.88344,0,57.03549243,0,0.019501287,1,8.02E+11,3,15647789725,3,15642237785,3,0.019494368,1,6.92E-06,0,12043.25542,1,0.0000015,0,8.30E-05,0,23.47359551,0,15.5296583,0,9.396343097,0,8.30E-05,0,802.3977985,3,0.005551941,0,0.019306787,1
Norway,NOR,26.64905915,0,85.8,1,1.739198636,1,7.110576982,0,0.949875,0,87.2317562,1,0.90268,0,49.23780875,0,0.017391986,1,3.75E+11,0,6514611520,3,6511961742,3,0.017384912,1,7.07E-06,0,15679.15744,1,0.00000419,0,6.38E-05,0,22.59731342,0,14.78998664,0,9.660151335,0,6.38E-05,0,374.5754731,0,0.002649778,0,0.017235524,1
New Zealand,NZL,25.73087688,0,91.28,1,1.237787273,0,5.488875031,0,0.925208333,0,87.93955029,1,0.87936,0,45.48917815,0,0.012377873,0,1.5E+11,0,1851074322,0,1850431554,0,0.012373575,0,4.30E-06,0,6240.473874,0,0.00000417,0,0.000160189,0,21.33903202,0,13.37354194,0,8.738971631,0,0.000160176,0,149.5470476,0,0.000642769,0,0.012297648,0
Pakistan,PAK,26.11287228,0,26.83333333,0,0.241566923,0,2.092106324,0,0.504166667,1,37.65168241,0,0.58964,1,22.06408346,0,0.002415669,0,2.19E+11,0,529314517.2,0,526802288.6,0,0.002404204,0,1.15E-05,0,1854.043256,0,0.00000085,0,0.000536802,0,20.08709337,0,14.73668121,0,7.525663293,0,0.000536658,0,219.1171335,0,0.002512229,0,0.002401319,0
Poland,POL,26.81306678,0,50.64,0,0.863536957,0,4.925381287,0,0.856458333,1,64.02790692,0,0.93,0,37.70803544,0,0.00863537,0,4.41E+11,0,3811078324,0,3809704424,0,0.008632257,0,3.11E-06,0,4641.554547,0,0.00000105,0,0.000215367,0,22.06117801,0,14.1331648,0,8.443020043,0,0.000215344,0,441.3335519,0,0.0013739,0,0.008595212,0
Portugal,PRT,26.09032689,0,62.44,1,1.219813913,0,5.023483168,0,0.841041667,1,70.30611373,1,0.95292,0,43.85769095,0,0.012198139,0,2.14E+11,0,2613235696,0,2612346164,0,0.012193987,0,4.15E-06,0,5665.8096,0,0.00000265,0,0.000176437,0,21.68385502,0,13.698452,0,8.642381558,0,0.000176422,0,214.2323242,0,0.000889532,0,0.012120239,0
Romania,ROU,25.76950122,0,39.08,0,0.448163478,0,3.399877828,0,0.803791667,1,52.34715197,0,0.9,0,34.2643558,0,0.004481635,0,1.55E+11,0,696608297.4,0,696128225.3,0,0.004478546,0,3.09E-06,0,2364.887299,0,0.00000152,0,0.000422562,0,20.36173383,0,13.08169371,0,7.76890841,0,0.000422472,0,155.4362039,0,0.000480072,0,0.004468547,0
Russia,RUS,27.81460127,0,25.88,0,1.089132174,0,3.86856093,0,0.808708333,1,39.69516062,0,0.49488,1,30.26407354,0,0.010891322,0,1.2E+12,3,13086045789,3,13049547505,3,0.010860945,0,3.04E-05,0,11709.427,1,0.000000977,0,8.52E-05,0,23.29481229,0,17.41277583,0,9.368234921,0,8.52E-05,0,1201.511268,3,0.036498284,4,0.010802388,0
Saudi Arabia,SAU,27.02663959,0,45.68181818,0,0.385899333,0,6.246967845,0,0.820125,1,52.73318629,0,0.0644,1,36.044819,0,0.003858993,0,5.46E+11,3,2108601282,0,2097084246,0,0.003837916,0,2.11E-05,0,5317.19117,0,0.000000978,0,0.000187042,0,21.46929067,0,16.25933798,0,8.578888519,0,0.000187025,0,546.412264,3,0.011517036,4,0.00383057,0
Singapore,SGP,26.19043422,0,88.52,1,2.05527619,1,2.997800821,0,0.924125,0,88.4967438,1,0.45496,1,59.94342125,0,0.020552762,1,2.37E+11,0,4866662749,3,4863901642,3,0.020541101,1,1.17E-05,0,11799.60079,1,0.00000499,0,8.47E-05,0,22.30567427,0,14.83114245,0,9.375905724,0,8.47E-05,0,236.7887475,0,0.002761107,0,0.020332978,1
Serbia,SRB,24.41649989,0,35.68181818,0,0.719496667,0,3.603101993,0,0.776416667,1,46.78584774,0,0.8254,0,31.74345504,0,0.007194967,0,40174563759,0,289054647.2,0,288722971.2,0,0.007186711,0,8.26E-06,0,2112.586495,0,0.00000526,0,0.00047281,0,19.48212632,0,12.71191712,0,7.656141544,0,0.000472699,0,40.17456376,0,0.000331676,0,0.007161009,0
Slovakia,SVK,25.12537576,0,46.2,0,0.707349565,0,4.07354303,0,0.841458333,1,62.05493608,0,0.94808,0,35.50789959,0,0.007073496,0,81622905159,0,577359264.6,0,577143885.1,0,0.007070857,0,2.64E-06,0,4307.590404,0,0.00000528,0,0.000232062,0,20.17397527,0,12.2801616,0,8.368366077,0,0.000232035,0,81.62290516,0,0.00021538,0,0.007045976,0
Slovenia,SVN,24.5092733,0,59.92,1,1.87318087,1,5.383778182,0,0.895333333,0,68.08436731,1,0.9372,0,40.10457609,0,0.018731809,1,44080057225,0,825699199.4,0,825560229.1,0,0.018728656,1,3.15E-06,0,6948.516796,0,0.0000158,0,0.000143891,0,20.5317411,0,11.84202297,0,8.84642741,0,0.000143881,0,44.08005723,0,0.00013897,0,0.018555434,1
Sweden,SWE,26.87205977,0,88.76,1,3.358736667,1,7.078445227,0,0.931583333,0,87.71745829,1,0.94988,0,62.57819105,0,0.033587367,1,4.68E+11,0,15724007089,3,15718282963,3,0.03357514,1,1.22E-05,0,18584.82495,1,0.00000397,0,5.38E-05,0,23.4784545,0,15.56020061,0,9.83015447,0,5.38E-05,0,468.152423,0,0.005724126,0,0.033023802,1
Thailand,THA,26.47742671,0,35,0,0.568221429,0,3.75559956,0,0.74625,1,51.70169551,0,0.33876,1,36.67229828,0,0.005682214,0,3.16E+11,0,1792742537,0,1790594650,0,0.005675406,0,6.81E-06,0,7355.776679,0,0.00000233,0,0.000135785,0,21.30701243,0,14.57999549,0,8.903377165,0,0.000135775,0,315.5006913,0,0.002147887,0,0.005659362,0
Tunisia,TUN,24.3927275,0,43.68,0,0.660322222,0,6.426575701,0,0.711833333,1,51.72619148,0,0.52932,1,26.9867919,0,0.006603222,0,39230780796,0,259049563.5,0,258711313.1,0,0.0065946,0,8.62E-06,0,2182.260216,0,0.00000557,0,0.000457642,0,19.37252997,0,12.73154449,0,7.688574551,0,0.000457537,0,39.2307808,0,0.00033825,0,0.006572951,0
Turkey,TUR,27.21699101,0,39.52,0,0.860106522,0,4.169628322,0,0.768375,1,51.96244013,0,0.33528,1,37.20171711,0,0.008601065,0,6.61E+11,3,5685141133,3,5680162513,3,0.008593533,0,7.53E-06,0,6611.713238,0,0.000001,0,0.000151114,0,22.46112179,0,15.42066351,0,8.796749323,0,0.000151103,0,660.9810515,3,0.00497862,0,0.008556819,0
Ukraine,UKR,25.45684719,0,26.96,0,0.703096667,0,5.570056015,0,0.769583333,1,39.20920266,0,0.61228,1,29.69101202,0,0.007030967,0,1.14E+11,0,799435261.9,0,799032480.8,0,0.007027424,0,3.54E-06,0,4738.601611,0,0.00000417,0,0.000210926,0,20.49941612,0,12.9061511,0,8.463708363,0,0.000210904,0,113.7020412,0,0.000402781,0,0.007002847,0
United States,USA,30.43802067,0,72.04,1,2.812854783,1,5.067867143,0,0.918375,0,78.5470658,1,0.88604,0,61.68921126,0,0.028128548,1,1.66E+13,1,4.66E+11,1,4.66E+11,1,0.028116411,1,1.21E-05,0,29799.05862,1,0.00000018,0,3.35E-05,0,26.86705039,0,19.11878885,0,10.30226564,0,3.35E-05,0,16560.15575,1,0.20099465,3,0.0277284,1
Vietnam,VNM,25.69541324,0,30.92,0,0.322614286,0,3.71598894,0,0.691833333,1,45.33587157,0,0.30848,1,37.07996414,0,0.003226143,0,1.44E+11,0,465650180.1,0,464635301.5,0,0.003219112,0,7.03E-06,0,3979.916069,0,0.00000276,0,0.000250714,0,19.95894523,0,13.83028054,0,8.28926724,0,0.000250683,0,144.3365035,0,0.001014879,0,0.003213941,0
South Africa,ZAF,26.4788335,0,44.84,0,0.70087619,0,5.259212799,0,0.677958333,1,56.28097301,0,0.88032,0,30.13827923,0,0.007008762,0,3.16E+11,0,2214382205,0,2212904859,0,0.007004086,0,4.68E-06,0,5909.384279,0,0.00000187,0,0.000169109,0,21.51823929,0,14.20575852,0,8.68446613,0,0.000169095,0,315.9448468,0,0.001477346,0,0.006979671,0
