Record ID,Country,ISO3,Type,RD_Years
65601,Australia,AUS,Collab,1.341547
65455,Australia,AUS,Collab,1.130732
65428,Australia,AUS,Collab,1.267625
65423,Australia,AUS,Collab,1.305955
65417,Australia,AUS,Collab,2.053388
65145,Australia,AUS,Collab,5.456537
64832,Australia,AUS,Collab,4.306639
64740,Australia,AUS,Collab,2.973306
64714,Australia,AUS,Collab,5.919233
64604,Australia,AUS,Collab,5.199179
64589,Australia,AUS,Collab,5.941136
64394,Australia,AUS,Collab,5.160849
64302,Australia,AUS,Collab,4.681725
64120,Australia,AUS,Collab,1.837098
63976,Australia,AUS,Collab,1.182752
63974,Australia,AUS,Collab,1.420945
63942,Australia,AUS,Collab,1.530459
63889,Australia,AUS,Collab,0.402464
63829,Australia,AUS,Collab,1.722108
63825,Australia,AUS,Collab,1.251198
63823,Australia,AUS,Collab,5.234771
63679,Australia,AUS,Collab,0.457221
63628,Australia,AUS,Collab,2.442163
63591,Australia,AUS,Collab,1.722108
63175,Australia,AUS,Collab,0.925394
62807,Australia,AUS,Collab,1.385352
62045,Australia,AUS,Collab,1.489391
61999,Australia,AUS,Collab,1.549624
61600,Australia,AUS,Collab,1.508556
61593,Australia,AUS,Collab,1.979466
61082,Australia,AUS,Collab,0.339493
61069,Australia,AUS,Collab,1.727584
61056,Australia,AUS,Collab,1.891855
60771,Australia,AUS,Collab,1.891855
60605,Australia,AUS,Collab,0.052019
60502,Australia,AUS,Collab,2.491444
60434,Australia,AUS,Collab,2.250513
60413,Australia,AUS,Collab,1.330595
60298,Australia,AUS,Collab,2.915811
60177,Australia,AUS,Collab,1.160849
60079,Australia,AUS,Collab,5.059548
60025,Australia,AUS,Collab,4.317591
60018,Australia,AUS,Collab,3.058179
59659,Australia,AUS,Collab,5.215606
59564,Australia,AUS,Collab,2.491444
59555,Australia,AUS,Collab,1.412731
59155,Australia,AUS,Collab,3.520876
59029,Australia,AUS,Collab,2.631075
58927,Australia,AUS,Collab,2.201232
58906,Australia,AUS,Collab,0.670773
58767,Australia,AUS,Collab,1.262149
58730,Australia,AUS,Collab,19.586585
58602,Australia,AUS,Collab,2.513347
58512,Australia,AUS,Collab,1.338809
57839,Australia,AUS,Collab,7.093771
57774,Australia,AUS,Collab,1.44011
57704,Australia,AUS,Collab,1.429158
57669,Australia,AUS,Collab,1.708419
57657,Australia,AUS,Collab,2.548939
57588,Australia,AUS,Collab,0.908966
57575,Australia,AUS,Collab,1.7577
57571,Australia,AUS,Collab,0.342231
57434,Australia,AUS,Collab,2.234086
57410,Australia,AUS,Collab,1.661875
57173,Australia,AUS,Collab,1.856263
57118,Australia,AUS,Collab,1.842574
57110,Australia,AUS,Collab,1.664613
56974,Australia,AUS,Collab,0
56939,Australia,AUS,Collab,2.631075
56902,Australia,AUS,Collab,8.13963
56756,Australia,AUS,Collab,4.317591
56315,Australia,AUS,Collab,6.746064
55521,Australia,AUS,Collab,1.040383
55146,Australia,AUS,Collab,2.034223
55104,Australia,AUS,Collab,11.901437
54846,Australia,AUS,Collab,0.046543
54845,Australia,AUS,Collab,0.183436
54780,Australia,AUS,Collab,2.28063
54778,Australia,AUS,Collab,8.758385
54684,Australia,AUS,Collab,3.312799
54649,Australia,AUS,Collab,0.235455
54634,Australia,AUS,Collab,0.235455
54513,Australia,AUS,Collab,0.079398
54361,Australia,AUS,Collab,0.235455
54348,Australia,AUS,Collab,0
54313,Australia,AUS,Collab,0.235455
54293,Australia,AUS,Collab,1.434634
54278,Australia,AUS,Collab,7.315537
54277,Australia,AUS,Collab,9.412731
54191,Australia,AUS,Collab,4.325804
54190,Australia,AUS,Collab,6.255989
54076,Australia,AUS,Collab,0.960986
53911,Australia,AUS,Collab,0.235455
53862,Australia,AUS,Collab,1.538672
53854,Australia,AUS,Collab,0
53763,Australia,AUS,Collab,5.672827
53621,Australia,AUS,Collab,0.235455
53406,Australia,AUS,Collab,1.574264
53397,Australia,AUS,Collab,2.90486
53376,Australia,AUS,Collab,1.629021
53267,Australia,AUS,Collab,2.234086
53167,Australia,AUS,Collab,0.410678
53154,Australia,AUS,Collab,1.275838
53153,Australia,AUS,Collab,1.275838
53145,Australia,AUS,Collab,1.481177
53144,Australia,AUS,Collab,1.598905
53136,Australia,AUS,Collab,0.963723
52842,Australia,AUS,Collab,3.718001
52325,Australia,AUS,Collab,1.462012
52129,Australia,AUS,Collab,1.593429
52061,Australia,AUS,Collab,14.291581
52056,Australia,AUS,Collab,3.540041
52040,Australia,AUS,Collab,1.322382
51939,Australia,AUS,Collab,0
51906,Australia,AUS,Collab,0.892539
51889,Australia,AUS,Collab,1.549624
51755,Australia,AUS,Collab,3.652293
51199,Australia,AUS,Collab,7.649555
51198,Australia,AUS,Collab,5.83436
51197,Australia,AUS,Collab,7.86037
50821,Australia,AUS,Collab,0.268309
50820,Australia,AUS,Collab,0.457221
50810,Australia,AUS,Collab,0.66256
50723,Australia,AUS,Collab,5.609856
50466,Australia,AUS,Collab,2.806297
50465,Australia,AUS,Collab,0.410678
50464,Australia,AUS,Collab,0.867899
50294,Australia,AUS,Collab,1.470226
50270,Australia,AUS,Collab,1.029432
49983,Australia,AUS,Collab,2.737851
49390,Australia,AUS,Collab,0
49354,Australia,AUS,Collab,0.229979
49081,Australia,AUS,Collab,2.01232
48848,Australia,AUS,Collab,2.384668
48796,Australia,AUS,Collab,7.682409
48571,Australia,AUS,Collab,3.523614
48414,Australia,AUS,Collab,3.066393
48194,Australia,AUS,Collab,5.557837
48078,Australia,AUS,Collab,18.899384
47962,Australia,AUS,Collab,2.009582
47895,Australia,AUS,Collab,0.952772
47373,Australia,AUS,Collab,1.396304
47180,Australia,AUS,Collab,0.221766
47099,Australia,AUS,Collab,1.420945
47001,Australia,AUS,Collab,1.114305
46976,Australia,AUS,Collab,3.956194
46949,Australia,AUS,Collab,8.826831
46906,Australia,AUS,Collab,0.892539
46778,Australia,AUS,Collab,0.84052
45699,Australia,AUS,Collab,6.688569
45698,Australia,AUS,Collab,6.119097
45697,Australia,AUS,Collab,7.091034
45682,Australia,AUS,Collab,1.552361
45680,Australia,AUS,Collab,0.128679
45679,Australia,AUS,Collab,6.910335
45557,Australia,AUS,Collab,0.032854
45461,Australia,AUS,Collab,1.117043
45250,Australia,AUS,Collab,0.429843
45091,Australia,AUS,Collab,9.054073
45021,Australia,AUS,Collab,12.670773
44982,Australia,AUS,Collab,3.731691
44898,Australia,AUS,Collab,1.875428
44800,Australia,AUS,Collab,0
44608,Australia,AUS,Collab,0
44607,Australia,AUS,Collab,0
44496,Australia,AUS,Collab,0.290212
44495,Australia,AUS,Collab,0.396988
44035,Australia,AUS,Collab,0.867899
43958,Australia,AUS,Collab,1.768652
43741,Australia,AUS,Collab,0.91718
43564,Australia,AUS,Collab,8.410678
43188,Australia,AUS,Collab,1.763176
43086,Australia,AUS,Collab,3.041752
43047,Australia,AUS,Collab,1.242984
42888,Australia,AUS,Collab,0.399726
42493,Australia,AUS,Collab,6.784394
42492,Australia,AUS,Collab,8.591376
42458,Australia,AUS,Collab,0
42148,Australia,AUS,Collab,9.790554
41818,Australia,AUS,Collab,1.067762
41761,Australia,AUS,Collab,0.837782
41694,Australia,AUS,Collab,0
41690,Australia,AUS,Collab,0.161533
41394,Australia,AUS,Collab,0
41219,Australia,AUS,Collab,0
41174,Australia,AUS,Collab,0
41173,Australia,AUS,Collab,0.569473
40847,Australia,AUS,Collab,0
40660,Australia,AUS,Collab,2.811773
40657,Australia,AUS,Collab,2.639288
40636,Australia,AUS,Collab,2.61191
40632,Australia,AUS,Collab,2.198494
40474,Australia,AUS,Collab,6.020534
40440,Australia,AUS,Collab,2.658453
40410,Australia,AUS,Collab,0.095825
40267,Australia,AUS,Collab,2.431211
40266,Australia,AUS,Collab,2.461328
40263,Australia,AUS,Collab,2.286105
40171,Australia,AUS,Collab,4.542094
40147,Australia,AUS,Collab,0.865161
39534,Australia,AUS,Collab,0.501027
39326,Australia,AUS,Collab,1.976728
39121,Australia,AUS,Collab,0.265572
39036,Australia,AUS,Collab,2.067077
38884,Australia,AUS,Collab,0.342231
38873,Australia,AUS,Collab,0.377823
38755,Australia,AUS,Collab,1.891855
38582,Australia,AUS,Collab,0.298426
38439,Australia,AUS,Collab,0.134155
38300,Australia,AUS,Collab,10.006845
38190,Australia,AUS,Collab,4.314853
37991,Australia,AUS,Collab,0.079398
37987,Australia,AUS,Collab,0.035592
37787,Australia,AUS,Collab,0.240931
37754,Australia,AUS,Collab,0.13963
37753,Australia,AUS,Collab,0.487337
37573,Australia,AUS,Collab,0.887064
37546,Australia,AUS,Collab,0.473648
37527,Australia,AUS,Collab,0
37526,Australia,AUS,Collab,5.724846
37433,Australia,AUS,Collab,1.809719
37404,Australia,AUS,Collab,3.466119
37293,Australia,AUS,Collab,0.525667
37016,Australia,AUS,Collab,6.926762
36767,Australia,AUS,Collab,0
36459,Australia,AUS,Collab,0.273785
36307,Australia,AUS,Collab,3.123888
36306,Australia,AUS,Collab,10.275154
35826,Australia,AUS,Collab,11.978097
35702,Australia,AUS,Collab,11.978097
35696,Australia,AUS,Collab,11.978097
35594,Australia,AUS,Collab,11.978097
35396,Australia,AUS,Collab,0.449008
35236,Australia,AUS,Collab,0.944559
35180,Australia,AUS,Collab,0.588638
35172,Australia,AUS,Collab,2.902122
35043,Australia,AUS,Collab,0
34981,Australia,AUS,Collab,0.837782
34581,Australia,AUS,Collab,3.537303
34579,Australia,AUS,Collab,2.001369
34189,Australia,AUS,Collab,0.249144
34074,Australia,AUS,Collab,0.1013
34037,Australia,AUS,Collab,7.460643
34034,Australia,AUS,Collab,0.249144
33707,Australia,AUS,Collab,2.836413
33529,Australia,AUS,Collab,6.138261
33528,Australia,AUS,Collab,3.890486
33511,Australia,AUS,Collab,12.060233
33481,Australia,AUS,Collab,0.320329
33472,Australia,AUS,Collab,2.609172
33464,Australia,AUS,Collab,6.655715
33463,Australia,AUS,Collab,3.909651
33408,Australia,AUS,Collab,7.441478
33254,Australia,AUS,Collab,0.416153
33128,Australia,AUS,Collab,1.097878
33073,Australia,AUS,Collab,13.880903
32378,Australia,AUS,Collab,12.019165
32375,Australia,AUS,Collab,5.111567
32374,Australia,AUS,Collab,4.862423
32373,Australia,AUS,Collab,11.824778
32372,Australia,AUS,Collab,4.574949
32315,Australia,AUS,Collab,6.858316
32239,Australia,AUS,Collab,12.325804
32238,Australia,AUS,Collab,7.835729
32237,Australia,AUS,Collab,5.612594
32047,Australia,AUS,Collab,1.138946
32006,Australia,AUS,Collab,2.543463
31986,Australia,AUS,Collab,0.498289
31924,Australia,AUS,Collab,15.945243
31659,Australia,AUS,Collab,8.772074
31658,Australia,AUS,Collab,5.634497
31635,Australia,AUS,Collab,10.190281
31559,Australia,AUS,Collab,8.429843
31493,Australia,AUS,Collab,7.455168
31407,Australia,AUS,Collab,12.788501
31108,Australia,AUS,Collab,6.023272
31078,Australia,AUS,Collab,12.33128
31076,Australia,AUS,Collab,10.332649
31073,Australia,AUS,Collab,0.539357
31064,Australia,AUS,Collab,13.817933
31034,Australia,AUS,Collab,4.602327
31033,Australia,AUS,Collab,0.268309
30957,Australia,AUS,Collab,0.145106
30721,Australia,AUS,Collab,15.627652
30719,Australia,AUS,Collab,10.124572
30697,Australia,AUS,Collab,0.180698
30693,Australia,AUS,Collab,0.180698
30686,Australia,AUS,Collab,0.180698
30679,Australia,AUS,Collab,0.180698
30601,Australia,AUS,Collab,5.653662
30598,Australia,AUS,Collab,5.538672
30501,Australia,AUS,Collab,2.135524
30209,Australia,AUS,Collab,5.218344
30188,Australia,AUS,Collab,5.267625
30130,Australia,AUS,Collab,3.550992
29980,Australia,AUS,Collab,0.429843
29956,Australia,AUS,Collab,25.965777
29037,Australia,AUS,Collab,7.800137
28994,Australia,AUS,Collab,4.731006
28883,Australia,AUS,Collab,0.424367
28882,Australia,AUS,Collab,0.424367
28881,Australia,AUS,Collab,0.424367
28880,Australia,AUS,Collab,0.424367
28879,Australia,AUS,Collab,0.424367
28878,Australia,AUS,Collab,0.424367
28877,Australia,AUS,Collab,0.424367
28876,Australia,AUS,Collab,0.424367
28875,Australia,AUS,Collab,0.424367
28874,Australia,AUS,Collab,0.424367
28873,Australia,AUS,Collab,0.424367
28872,Australia,AUS,Collab,0.424367
28871,Australia,AUS,Collab,0.424367
28870,Australia,AUS,Collab,0.424367
28869,Australia,AUS,Collab,0.424367
28725,Australia,AUS,Collab,0.520192
28683,Australia,AUS,Collab,0.057495
27881,Australia,AUS,Collab,0.454483
27880,Australia,AUS,Collab,2.603696
27178,Australia,AUS,Collab,0.210815
26616,Australia,AUS,Collab,14.182067
26602,Australia,AUS,Collab,0
26517,Australia,AUS,Collab,0.33128
26377,Australia,AUS,Collab,3.63039
26275,Australia,AUS,Collab,1.28679
26177,Australia,AUS,Collab,4.197125
25639,Australia,AUS,Collab,9.930185
25417,Australia,AUS,Collab,15.312799
25375,Australia,AUS,Collab,5.256674
25306,Australia,AUS,Collab,5.897331
24925,Australia,AUS,Collab,0
24922,Australia,AUS,Collab,1.889117
24877,Australia,AUS,Collab,0.303901
24814,Australia,AUS,Collab,4.698152
24707,Australia,AUS,Collab,3.616701
24659,Australia,AUS,Collab,5.615332
24572,Australia,AUS,Collab,1.620808
24571,Australia,AUS,Collab,4.941821
24570,Australia,AUS,Collab,5.054073
24569,Australia,AUS,Collab,2.173854
24568,Australia,AUS,Collab,4.980151
24551,Australia,AUS,Collab,0.435318
24425,Australia,AUS,Collab,1.38809
24073,Australia,AUS,Collab,4.229979
23834,Australia,AUS,Collab,4.52293
23823,Australia,AUS,Collab,0.936345
23633,Australia,AUS,Collab,0.429843
23571,Australia,AUS,Collab,0.106776
23541,Australia,AUS,Collab,0.325804
23475,Australia,AUS,Collab,0.027379
23415,Australia,AUS,Collab,1.938398
23229,Australia,AUS,Collab,0.229979
23228,Australia,AUS,Collab,4.049281
23161,Australia,AUS,Collab,0.752909
22834,Australia,AUS,Collab,0.268309
22480,Australia,AUS,Collab,0.473648
22416,Australia,AUS,Collab,24.361396
22382,Australia,AUS,Collab,1.040383
22114,Australia,AUS,Collab,0.919918
21890,Australia,AUS,Collab,3.501711
21870,Australia,AUS,Collab,0.525667
21745,Australia,AUS,Collab,1.327858
21711,Australia,AUS,Collab,0.106776
21586,Australia,AUS,Collab,2.735113
21585,Australia,AUS,Collab,0.960986
21488,Australia,AUS,Collab,0.375086
21481,Australia,AUS,Collab,0.375086
21468,Australia,AUS,Collab,0
21463,Australia,AUS,Collab,0
21401,Australia,AUS,Collab,0
21395,Australia,AUS,Collab,0
21365,Australia,AUS,Collab,1.831622
21317,Australia,AUS,Collab,0
21254,Australia,AUS,Collab,0.457221
21175,Australia,AUS,Collab,2.984257
21070,Australia,AUS,Collab,0.468172
20572,Australia,AUS,Collab,3.019849
20483,Australia,AUS,Collab,2.220397
20402,Australia,AUS,Collab,1.415469
20379,Australia,AUS,Collab,1.067762
20002,Australia,AUS,Collab,0.07666
19946,Australia,AUS,Collab,0.558522
19739,Australia,AUS,Collab,9.946612
19698,Australia,AUS,Collab,0.492813
19610,Australia,AUS,Collab,1.212868
19504,Australia,AUS,Collab,0.073922
19218,Australia,AUS,Collab,1.546886
19217,Australia,AUS,Collab,0
18841,Australia,AUS,Collab,0.626968
18811,Australia,AUS,Collab,0.325804
18788,Australia,AUS,Collab,0.427105
18655,Australia,AUS,Collab,1.771389
18416,Australia,AUS,Collab,0.358658
18214,Australia,AUS,Collab,0.25462
18206,Australia,AUS,Collab,0.47091
18205,Australia,AUS,Collab,0.33128
17989,Australia,AUS,Collab,2.190281
17844,Australia,AUS,Collab,0.325804
17684,Australia,AUS,Collab,0.495551
17676,Australia,AUS,Collab,2.521561
17483,Australia,AUS,Collab,0.147844
17415,Australia,AUS,Collab,1.905544
17382,Australia,AUS,Collab,3.70705
17101,Australia,AUS,Collab,0.438056
16847,Australia,AUS,Collab,0.692676
16626,Australia,AUS,Collab,0.399726
15004,Australia,AUS,Collab,0.224504
15003,Australia,AUS,Collab,0.224504
14631,Australia,AUS,Collab,0.123203
14568,Australia,AUS,Collab,0.123203
13128,Australia,AUS,Collab,0.197125
12961,Australia,AUS,Collab,0.128679
12902,Australia,AUS,Collab,0.169747
12876,Australia,AUS,Collab,10.8282
12444,Australia,AUS,Collab,0.391513
11919,Australia,AUS,Collab,0.164271
11063,Australia,AUS,Collab,6.444901
10393,Australia,AUS,Collab,7.405886
10345,Australia,AUS,Collab,0.024641
10344,Australia,AUS,Collab,0
10342,Australia,AUS,Collab,1.993155
9902,Australia,AUS,Collab,0.112252
9702,Australia,AUS,Collab,0.112252
9617,Australia,AUS,Collab,0.232717
9526,Australia,AUS,Collab,1.188227
9151,Australia,AUS,Collab,0.112252
9150,Australia,AUS,Collab,0.112252
9149,Australia,AUS,Collab,0.424367
9057,Australia,AUS,Collab,0.843258
9052,Australia,AUS,Collab,1.527721
8883,Australia,AUS,Collab,0.859685
8763,Australia,AUS,Collab,0.301164
8630,Australia,AUS,Collab,2.01232
8546,Australia,AUS,Collab,0.574949
8509,Australia,AUS,Collab,0.613279
8384,Australia,AUS,Collab,0.517454
8367,Australia,AUS,Collab,0.594114
8211,Australia,AUS,Collab,0
8158,Australia,AUS,Collab,0
8111,Australia,AUS,Collab,0.785763
7658,Australia,AUS,Collab,0.109514
7637,Australia,AUS,Collab,0.109514
7406,Australia,AUS,Collab,0.306639
7319,Australia,AUS,Collab,0.109514
7173,Australia,AUS,Collab,0.147844
7072,Australia,AUS,Collab,0.049281
6992,Australia,AUS,Collab,0.657084
6991,Australia,AUS,Collab,0.654346
6990,Australia,AUS,Collab,0.670773
6989,Australia,AUS,Collab,0.668036
6980,Australia,AUS,Collab,1.010267
6979,Australia,AUS,Collab,1.007529
6978,Australia,AUS,Collab,1.010267
6977,Australia,AUS,Collab,1.007529
6976,Australia,AUS,Collab,1.0705
6975,Australia,AUS,Collab,1.067762
6973,Australia,AUS,Collab,1.10883
6916,Australia,AUS,Collab,1.111567
6910,Australia,AUS,Collab,0.610541
6909,Australia,AUS,Collab,0.607803
6771,Australia,AUS,Collab,0.867899
6741,Australia,AUS,Collab,1.437372
6383,Australia,AUS,Collab,2.784394
6250,Australia,AUS,Collab,1.828884
6238,Australia,AUS,Collab,2.294319
6189,Australia,AUS,Collab,0.999316
5983,Australia,AUS,Collab,1.979466
5750,Australia,AUS,Collab,0.832307
5690,Australia,AUS,Collab,0.520192
5667,Australia,AUS,Collab,0.377823
5538,Australia,AUS,Collab,0.364134
5309,Australia,AUS,Collab,7.129363
5243,Australia,AUS,Collab,0.093087
5144,Australia,AUS,Collab,1.831622
5106,Australia,AUS,Collab,0.073922
5071,Australia,AUS,Collab,1.845311
4952,Australia,AUS,Collab,0.301164
4849,Australia,AUS,Collab,1.023956
4807,Australia,AUS,Collab,0.939083
4805,Australia,AUS,Collab,0.035592
4738,Australia,AUS,Collab,8.919918
4502,Australia,AUS,Collab,2.631075
4242,Australia,AUS,Collab,1.771389
4167,Australia,AUS,Collab,0.260096
4073,Australia,AUS,Collab,0.999316
4057,Australia,AUS,Collab,3.488022
3713,Australia,AUS,Collab,1.514031
